order_id,product,order_date,quantity,total_price,order_year,order_month,order_day,avg_price_per_item,price_category
1,Tablet,2025-06-26 11:18:00,1,583.28,2025,6,26,583.28,Medium
2,Camera,2025-06-13 11:27:00,4,2299.2,2025,6,13,574.8,Medium
3,Headphones,2025-06-23 22:30:00,3,3682.14,2025,6,23,1227.3799999999999,High
5,Smartphone,2025-06-26 02:40:00,1,990.39,2025,6,26,990.39,Medium
6,Camera,2025-07-05 00:43:00,4,3613.93,2025,7,5,903.4825,Medium
10,Camera,2025-06-23 06:55:00,2,393.22,2025,6,23,196.61,Low
11,Smartphone,2025-06-23 19:27:00,1,340.35,2025,6,23,340.35,Low
12,Camera,2025-07-03 05:13:00,4,870.69,2025,7,3,217.6725,Low
13,Smartphone,2025-06-21 02:21:00,2,2222.46,2025,6,21,1111.23,High
17,Smartphone,2025-06-21 15:00:00,5,7368.53,2025,6,21,1473.706,High
19,Smartphone,2025-06-20 18:42:00,4,4163.59,2025,6,20,1040.8975,High
20,Smartphone,2025-06-12 16:43:00,4,970.02,2025,6,12,242.505,Low
21,Headphones,2025-07-03 11:23:00,2,403.03,2025,7,3,201.515,Low
23,Camera,2025-06-19 15:15:00,3,1422.16,2025,6,19,474.05333333333334,Low
28,Camera,2025-06-13 16:48:00,5,1587.54,2025,6,13,317.508,Low
29,Laptop,2025-06-26 16:16:00,1,691.14,2025,6,26,691.14,Medium
30,Headphones,2025-07-06 00:27:00,1,371.61,2025,7,6,371.61,Low
32,Tablet,2025-06-27 03:59:00,4,2053.05,2025,6,27,513.2625,Medium
33,Smartphone,2025-06-14 23:46:00,1,1125.66,2025,6,14,1125.66,High
35,Smartphone,2025-06-27 20:03:00,2,1484.55,2025,6,27,742.275,Medium
36,Camera,2025-06-14 05:46:00,3,507.15,2025,6,14,169.04999999999998,Low
37,Tablet,2025-06-23 15:09:00,5,3598.42,2025,6,23,719.684,Medium
38,Camera,2025-07-02 06:08:00,4,1903.02,2025,7,2,475.755,Low
39,Camera,2025-06-15 08:27:00,3,2605.44,2025,6,15,868.48,Medium
40,Headphones,2025-06-30 13:29:00,1,619.12,2025,6,30,619.12,Medium
41,Laptop,2025-06-19 16:02:00,3,4227.12,2025,6,19,1409.04,High
44,Laptop,2025-06-30 01:41:00,4,504.91,2025,6,30,126.2275,Low
45,Smartphone,2025-06-23 13:00:00,1,1296.91,2025,6,23,1296.91,High
47,Tablet,2025-06-22 00:09:00,5,4039.78,2025,6,22,807.956,Medium
48,Tablet,2025-06-29 20:39:00,5,2163.01,2025,6,29,432.60200000000003,Low
49,Laptop,2025-06-23 19:03:00,3,1902.34,2025,6,23,634.1133333333333,Medium
50,Smartphone,2025-06-13 16:15:00,3,359.85,2025,6,13,119.95,Low
52,Smartphone,2025-06-12 11:45:00,3,2042.94,2025,6,12,680.98,Medium
53,Laptop,2025-06-21 00:11:00,1,838.0,2025,6,21,838.0,Medium
55,Tablet,2025-06-27 11:02:00,3,1860.94,2025,6,27,620.3133333333334,Medium
57,Smartphone,2025-06-25 17:24:00,5,904.68,2025,6,25,180.93599999999998,Low
58,Smartphone,2025-06-23 03:33:00,2,420.21,2025,6,23,210.105,Low
59,Tablet,2025-06-30 23:21:00,1,1160.89,2025,6,30,1160.89,High
60,Tablet,2025-06-27 14:27:00,5,4765.5,2025,6,27,953.1,Medium
62,Camera,2025-06-28 12:57:00,5,6390.25,2025,6,28,1278.05,High
63,Laptop,2025-07-01 05:42:00,4,569.22,2025,7,1,142.305,Low
65,Tablet,2025-06-25 20:51:00,2,2009.41,2025,6,25,1004.705,High
66,Headphones,2025-06-24 09:08:00,4,2036.5,2025,6,24,509.125,Medium
67,Headphones,2025-06-15 09:48:00,4,839.97,2025,6,15,209.9925,Low
68,Camera,2025-06-17 06:32:00,1,962.96,2025,6,17,962.96,Medium
70,Camera,2025-06-13 17:31:00,5,958.11,2025,6,13,191.622,Low
71,Camera,2025-06-29 15:02:00,4,5660.13,2025,6,29,1415.0325,High
73,Headphones,2025-06-18 09:50:00,5,1543.82,2025,6,18,308.764,Low
74,Headphones,2025-06-13 03:55:00,3,197.9,2025,6,13,65.96666666666667,Low
75,Smartphone,2025-06-22 03:53:00,4,2730.13,2025,6,22,682.5325,Medium
76,Laptop,2025-06-30 07:46:00,5,5511.3,2025,6,30,1102.26,High
77,Headphones,2025-06-25 06:46:00,1,317.52,2025,6,25,317.52,Low
78,Headphones,2025-06-19 10:57:00,4,1265.53,2025,6,19,316.3825,Low
80,Smartphone,2025-06-30 01:47:00,4,711.75,2025,6,30,177.9375,Low
81,Camera,2025-06-22 06:35:00,4,2663.67,2025,6,22,665.9175,Medium
82,Laptop,2025-06-25 06:21:00,3,936.11,2025,6,25,312.0366666666667,Low
83,Headphones,2025-06-18 17:20:00,2,1331.16,2025,6,18,665.58,Medium
85,Tablet,2025-06-28 12:35:00,5,4748.01,2025,6,28,949.6020000000001,Medium
87,Camera,2025-06-27 00:18:00,5,7441.5,2025,6,27,1488.3,High
88,Tablet,2025-07-01 17:33:00,5,797.97,2025,7,1,159.594,Low
91,Camera,2025-07-05 03:11:00,3,1145.88,2025,7,5,381.96000000000004,Low
92,Camera,2025-06-12 10:11:00,2,1690.89,2025,6,12,845.445,Medium
93,Camera,2025-06-15 16:15:00,2,1253.02,2025,6,15,626.51,Medium
95,Headphones,2025-07-04 13:39:00,3,264.65,2025,7,4,88.21666666666665,Low
98,Camera,2025-06-17 18:44:00,3,4367.03,2025,6,17,1455.6766666666665,High
100,Tablet,2025-06-29 17:46:00,3,713.68,2025,6,29,237.89333333333332,Low
